文章日期,文章标题,文章链接,评论昵称,评论内容,评论点赞数,留言回复,留言时间,国家,省份
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,…土豆没有豆…,我多么想有你这样的工作，咱俩同龄，但是事业运确实比你差太多，努力考了各种证，中级会计也考下来了，但是并不耽误我的工资还是3000块，现在只希望快速增长经验、见识，找到合适的地方勇敢跳出去，因为领导都说“你就当历练自己了，你觉得你的工资值更多的钱，但是实际工资达不到的时候，就当差价在买经验了.......”,74,,2022-05-27 08:14:52,中国,吉林
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,赵娜,珍惜当下，提升自己的能量，回报社会,68,,2022-05-27 07:59:21,中国,天津
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,娟娟,"
文章太及时了，33岁，新一线城市，国企地产行业，研究生毕业工作六年，和题主一样近一两年看透了关系上位轻飘飘的现实，勤勤恳恳努力工作，一个人干几个岗位的事情，以生孩子第二天就在病房工作的精神努力，还是觉得升职无望，调动无望，目前以躺平的心态干着不躺平的事，嘴上抱怨说躺平，实际还是很努力，实在是一天想吐槽八百遍，看了连叔文章，受益匪浅，毕竟毕业六年我生了俩娃，兜兜转转倒腾三套房，还调到了新一线城市工作，我不能再以德报怨，从今天起发自内心，调整心态，努力工作。",63,,2022-05-27 08:57:38,中国,安徽
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,武双志,运气太好有时也不是一件好事！,62,,2022-05-27 08:02:12,中国,江苏
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,王蕾,小县城，年薪十万，工作清闲，姑娘，我们要实事求是点，多看看周围，你要结婚了，那就了解一下结婚相关的与你有接触的人，他们是什么学历，是什么工作与收入情况，我们每天要逛超市买东西，就去了解一下有多少大专毕业生在超市工作，他们一周工作多久收入多少，别老盯着网上，看看你实际生活的地方。,57,,2022-05-27 08:31:56,中国,四川
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,Judywang,看了楼主，突然想到一个在银行工作的朋友，也是我女儿的干妈，大学也是很普通的大学，靠自己努力做到了省会某区建行支行行长，年龄33，马上又要调去北京工作，自己努力也在北京买了房，非常励志的女孩.,56,,2022-05-27 08:48:40,中国,广东
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,意静,认知出现问题，就是自己的负能量太多了，多些爱和付出吧,40,,2022-05-27 08:08:21,中国,山东
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,像风一样自由！,你是想给自己躺平找个他因，麻痹自己，然后自我安慰说，我没有继续晋升是没有强大的关系网。我在县城乡镇工作过，小地方低头抬头不是朋友就是亲戚，要么就是朋友的亲戚或者亲戚的朋友，但这并不意味着依靠关系网就可以平步青云，搞定一切，你得有实力实绩，领导同事群众才会认可你。30岁选择躺平未免早了点，你会一点点儿退化， 直到你再无任何竞争力，成为可有可无的存在。还是多学点知识，尤其是感兴趣的，另外就是回报社会，做点公益的有价值的事，比如助学，扶贫，你会更快乐。,38,,2022-05-27 08:16:34,中国,湖北
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,再见碳水🐰祝你好运,好运气也要珍惜，否则好运会溜走的。要感恩社会回报社会，把自己的好运带给更多的人，我也自认为是个好运气的人，所以更爱自己的家人朋友学生和社会国家。,38,,2022-05-27 08:09:41,中国,河北
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,mm,叔，读您这篇文章我简直感同身受。因为最近工作跟同事沟通上遇到了一些问题，让我比较心烦。我不是一个很爱看书的人，但现在有点爱了，因为每次遇到问题的时候，都是书里给了我答案。书里告诉我，我们绝大多数人对事物的认知都是基于自己的联想，比如白色是纯洁，玫瑰是爱情。书里说我们关注联想高于关注事物本身。书里还说我们遇到事情的时候急于判断给个结论，对或者错，有利或者有害，同意或者不同意。可这些判断都是基于自己的认知，自己的认知又是基于联想和过往的经历经验。所以同一件事不同人的判断可能不同，大家都是基于自己的认知，那这种判断就有可能是事情真相，也有可能不是。我们习惯基于自己的判断做出决定和行为，而忘记关注事物本身。举个例子，姑娘觉得上升需要很强的关系网，这是一种认知，它有可能接近事物真相也有可能不是。即便连老师说了这么一大段姑娘可能还是会赞同自己的认知，因为这个很难改的，这跟自己过往的经历经验以及读过的书走过的路有关。但姑娘可以试着跳出自己的认知，先不要下结论，单纯的关注“上升需要什么？”这个问题，它一定是有一些大家都认知赞同的技术或硬性标准的吧。那就简单了，向这些标准靠近吧，等你达到这些标准时候，再来思考今天这个问题。那会可能你有新的认知了，你的结论也会变了。最后，书里还说我们每一次遇到的问题其实都是我们修心的好机会，我们应该感恩，借助这种力量我们可以变的更好。心是可以锻炼的，一起加油。,36,,2022-05-27 10:01:38,中国,上海
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,李玉春,我也是银行职员，没关系网，在基层工作10年，各个岗位都做过，一直勤勤恳恳，后来双向选择时前领导力荐我到市分行某部门，一干就十多年。岗位不同但也有各自职责，网点是最辛苦的，后台更加要做好支援才能和网点并肩作战。我们这儿由网点到分行每个人都很忙碌，个人觉得认真做好本职工作是最基本的职业操守。,36,,2022-05-27 08:38:41,中国,广东
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,青柠,可能是靠了运气，其实没有拼劲，工作稳定了想躺平也没什么，可是在大环境里必然有很多优秀的人，于是看着别人，内心有了焦灼。有一个工作的平台，哪里都是学习的机会，我觉得单位服务员端个茶、文印室姐姐订个文件都比我做得好，大家在各自的岗位上术业有专攻。题主到底在什么岗位能让自己躺平成这样又纠结成这样。一直躺平，大概率躺到结婚生子忙着相夫教子，工作上进步不大还觉得别人进步全是因为关系。真想改变的话，别躺了，爬起来删掉小视频软件，下一步不知道怎么做的话，抬眼看看身边的同事们，先无视他们的关系，看看他们都有什么优点，破解掉自己关系网之借口，找找方向。平台有了，找到方向迈步走就行了，不然一辈子纠结，一辈子躺平，最后还是埋怨别人都是靠关系。不过，多年习惯改起来不容易，说不好就是一辈子的习惯。,29,,2022-05-27 08:50:26,中国,湖北
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,🌻漫悦玫🌻,学会爱这个爱你的社会吧！自身感觉，什么时候学会承担，什么时候才真正成熟。,29,,2022-05-27 08:12:50,中国,陕西
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,兰子,姑娘，曾经有段时间我会有每天好像都是混吃等死的感觉，想想都觉得可怕。后来自己给自己找事做定小目标，特别是阅读这块，随着阅读的增长会觉得自己越无知越想多看好书拓展自己的认知。现在的每天5点起床都觉得时间过的飞快，充实的很。,28,,2022-05-27 08:45:50,中国,广东
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,陈尚18593327782,竟然有跟我一模一样经历的人，哈哈哈哈，而且心态也跟我几年前一样，我也是三本，我也是银行工作，我前几年也一样抱怨无法升职，而现在的35岁的我，无比感恩…自己心态问题而已，其实我是自身肝气郁结导致怼天怼地…现在我调整好了，恢复到了生娃前的乐观开朗状态。,27,,2022-05-27 08:49:06,中国,湖南
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,何子,受教了[抱拳][抱拳]还有四个半月就入天命的我，也顿觉醍醐灌顶。,27,,2022-05-27 08:06:05,中国,贵州
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,🍀啊巫🎋,赞同👍 怨念会让一个人晦气   而不是什么没有所谓关系网  ,23,,2022-05-27 08:27:29,中国,湖南
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,红绿灯的黄,感谢连叔解读！这社会对我也不薄：出生于偏远农村，1989年初中毕业考了中专，1993年毕业分在国企。2003年因为国企改制失业，和老公一起赴外省打工。当时有经历一个不太好的心理过程，但现在回头想想，也并没有多辛苦，和老公的工作都算相对轻松，赚的钱也足够养家糊口。现在有房有车，俩孩子都健康成长，也赡养了父母。所以也要感谢这社会，更应力所能及地为社会、为国家、为单位以及身边的人，多做贡献。[爱心],21,,2022-05-27 08:39:25,中国,广东
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,滴血的雄鹰,文章太及时了，33岁，二线城市，拿着周边同事3倍的工资，自我感觉也是运气使然。相对于同事，我并没有稀缺性竞争力，但是最近心里也有躺平的想法，认为已无往上晋升的可能性，努力也是这个样子。,17,,2022-05-27 08:36:40,中国,重庆
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,小溪流的歌,非常赞同这个观点：作为一个普通人，做好本职工作，照顾好生我的，养育好我生的，就是对国家做贡献！,16,,2022-05-27 09:02:15,中国,重庆
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,傅志明,连叔早，今天看您文章联想到您之前说的：万事皆有成本。 在人网中，躺平和不知感恩的成本会高到让人后悔。,15,,2022-05-27 08:50:55,中国,广东
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,LY🐟🍅,我有三本的同学靠当你的自己近银行，靠一点关系分到好一点点的网点，后来看到新进员工全部都研究生甚至211.985。自己生娃后努力考研究生证书考人力资源的。也是很早就进入行政做人资做培训。现在是做了主任，但也付出很多，另外做接待多了也是各种为人处事能力很到位，都是笑嘻嘻的，这些都是成长，多一些爱，多一些笑。其实很多空间，有时候只管去努力就好，真心待人，是机会是幸运在某刻就来了,14,,2022-05-27 09:57:38,中国,四川
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,名字被吃掉了,同三本毕业，考取了县城的高中教师编，找了在银行工作的老公，生了个娃，事业家庭和谐美满，非常知足。,12,,2022-05-27 12:38:54,中国,河北
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,风和日丽,想起自己这个年龄时也有那么一段时间的焦虑，经过考录筛选进入体制内工作，游刃有余的工作也曾经让自己没了方向和目标，不过好在我一直把持两条：工作做好；闲散时间看书。最终结果是该升职升职，该加薪时加薪。什么也没耽误。而且我一直觉得有关系也是一种资源，没关系你就凭实力说话，不要拿关系说事，逃遁现实。,12,,2022-05-27 10:20:50,中国,山东
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,晓霞,说明这份工作没有让你觉得有价值感。我在省会城市教书，工资和你一样，我从来都没有想过要躺平，也没有因为自己工资不高而抱怨过。即便我可以躺平，我也不会这么干。挣那份钱就得对得起那份钱的来处，我刚看到你的信，还想你当初怎么考进的银行，原来是第一名进去。第一名的成绩与第一名的心理并不匹配。在价值观的建立上，还需要进一步做出努力。,12,,2022-05-27 10:17:28,中国,山西
